 URL, Mobile_Performance, Mobile_Accessibility, Mobile_Best_Practices, Mobile_SEO, Desktop_Performance, Desktop_Accessibility, Desktop_Best_Practices, Desktop_SEO
https://www.medstarhealth.org/services/general-surgery,28,93,75,57,32,93,75,57
https://www.medstarhealth.org/services/gastrointestinal-cancers,25,90,75,50,39,90,75,50
https://www.medstarhealth.org/services/gynecology,30,93,75,64,31,93,75,64
https://www.medstarhealth.org/services/hand-and-upper-extremity,30,93,75,64,32,93,75,64
https://www.medstarhealth.org/services/hemorrhagic-stroke,30,93,75,64,44,93,75,64
https://www.medstarhealth.org/services/hospice-care,40,93,75,50,30,93,75,50
https://www.medstarhealth.org/services/hospitalist,32,92,75,64,32,92,75,64
https://www.medstarhealth.org/services/home-care,22,92,58,50,26,92,58,50
https://www.medstarhealth.org/services/hand-pain,35,90,75,57,36,90,75,57
https://www.medstarhealth.org/services/intensive-care,30,93,75,64,40,93,75,64
https://www.medstarhealth.org/services/inpatient-rehabilitation,29,88,58,50,42,88,58,50
https://www.medstarhealth.org/services/interventional-radiology,26,91,67,50,24,91,67,50
https://www.medstarhealth.org/services/lung-cancer,24,89,67,50,27,89,67,50
https://www.medstarhealth.org/services/neonatology,22,92,67,64,21,92,67,64
https://www.medstarhealth.org/services/nuclear-medicine,31,93,75,64,30,93,75,64
https://www.medstarhealth.org/services/obstetrics-and-gynecology,24,90,67,50,23,90,67,50
https://www.medstarhealth.org/services/occupational-therapy,30,93,75,64,33,93,75,64
https://www.medstarhealth.org/services/ophthalmology,24,90,58,50,28,90,58,50
https://www.medstarhealth.org/services/pain-management,29,88,75,57,28,88,75,57
https://www.medstarhealth.org/services/pancreas-and-liver-diseases-program,24,85,67,57,28,85,67,57
https://www.medstarhealth.org/services/pediatrics,25,90,67,50,22,90,67,50
https://www.medstarhealth.org/services/pharmacy,27,93,75,64,50,93,75,64
https://www.medstarhealth.org/services/pulmonology,24,90,67,50,25,90,67,50
https://www.medstarhealth.org/services/prostate-cancer,23,90,67,50,25,90,67,50
https://www.medstarhealth.org/services/radiology,31,93,75,64,38,93,75,64
https://www.medstarhealth.org/services/reconstructive-surgery,28,93,75,57,30,93,75,57
https://www.medstarhealth.org/services/rheumatology-immunology-and-allergy,28,91,75,57,43,91,75,57
https://www.medstarhealth.org/services/robotic-surgery,30,93,75,50,32,93,75,50
https://www.medstarhealth.org/services/skin-procedures,30,90,67,57,31,90,67,57
https://www.medstarhealth.org/services/sleep-center,31,93,75,57,32,93,75,57
https://www.medstarhealth.org/services/speech-language-pathology-for-children,29,93,75,64,40,93,75,64
https://www.medstarhealth.org/services/stroke-treatments,42,93,75,57,31,93,75,57
https://www.medstarhealth.org/services/sarcoidosis,29,89,75,57,42,89,75,57
https://www.medstarhealth.org/services/the-burn-center,29,93,75,57,30,93,75,57
https://www.medstarhealth.org/services/thoracic-surgery,28,93,67,50,23,93,67,50
https://www.medstarhealth.org/services/urgent-care,14,85,75,57,16,85,75,57
https://www.medstarhealth.org/services/wellness-and-healthy-living,25,90,67,57,25,90,67,57
https://www.medstarhealth.org/services/workers-compensation-outpatient,30,93,75,64,32,93,75,64
https://www.medstarhealth.org/services/wound-care,26,93,67,64,28,93,67,64
https://www.medstarhealth.org/services/service-alphabetic-page?character=A,29,92,75,50,31,92,75,50
https://www.medstarhealth.org/services/service-alphabetic-page?character=B,32,92,75,50,38,92,75,50
https://www.medstarhealth.org/services/service-alphabetic-page?character=C,29,92,75,50,40,92,75,50
https://www.medstarhealth.org/services/service-alphabetic-page?character=D,26,92,75,50,28,92,75,50
https://www.medstarhealth.org/services/service-alphabetic-page?character=E,30,92,75,50,30,92,75,50
https://www.medstarhealth.org/services/service-alphabetic-page?character=F,29,92,75,50,25,92,75,50
https://www.medstarhealth.org/services/service-alphabetic-page?character=G,30,92,75,50,31,92,75,50
https://www.medstarhealth.org/services/service-alphabetic-page?character=H,34,92,75,50,32,92,75,50
https://www.medstarhealth.org/services/service-alphabetic-page?character=I,28,92,75,50,40,92,75,50
https://www.medstarhealth.org/services/service-alphabetic-page?character=J,28,92,75,50,27,92,75,50
https://www.medstarhealth.org/services/service-alphabetic-page?character=K,31,92,75,50,40,92,75,50
https://www.medstarhealth.org/services/service-alphabetic-page?character=L,29,92,75,50,30,92,75,50
https://www.medstarhealth.org/services/service-alphabetic-page?character=M,38,92,75,50,29,92,75,50
https://www.medstarhealth.org/services/service-alphabetic-page?character=N,42,92,75,50,35,92,75,50
https://www.medstarhealth.org/services/service-alphabetic-page?character=O,31,92,75,50,25,92,75,50
https://www.medstarhealth.org/services/service-alphabetic-page?character=P,31,92,75,50,28,92,75,50
https://www.medstarhealth.org/services/service-alphabetic-page?character=R,27,92,75,50,26,92,75,50
https://www.medstarhealth.org/services/service-alphabetic-page?character=S,26,92,75,50,26,92,75,50
