 URL, Mobile_Performance, Mobile_Accessibility, Mobile_Best_Practices, Mobile_SEO, Desktop_Performance, Desktop_Accessibility, Desktop_Best_Practices, Desktop_SEOundefined
https://www.medstarhealth.org/services/sports-medicine,25,90,75,50,36,90,75,50,undefined
https://www.medstarhealth.org/doctors/stephen-krystjan-ronson-md,32,90,67,56.99999999999999,31,90,67,56.99999999999999,undefined
https://www.medstarhealth.org/doctors/mark-d-hasenauer-md,43,90,67,56.99999999999999,43,90,67,56.99999999999999,undefined
https://www.medstarhealth.org/doctors/edward-c-mccarron-md,16,88,57.99999999999999,56.99999999999999,28.000000000000004,88,57.99999999999999,56.99999999999999,undefined
https://www.medstarhealth.org/news-and-publications/podcasts,32,92,75,56.99999999999999,30,92,75,56.99999999999999,undefined
https://www.medstarhealth.org/news-and-publications/news,27,73,75,56.99999999999999,37,73,75,56.99999999999999,undefined
https://www.medstarhealth.org/disclaimer,32,90,75,64,34,90,75,64,undefined
https://www.medstarhealth.org/disclosure-of-outside-interests,28.999999999999996,93,75,64,28.999999999999996,93,75,64,undefined
https://www.medstarhealth.org/feedback,26,90,67,56.99999999999999,21,90,67,56.99999999999999,undefined
https://www.medstarhealth.org/financial-assistance-policy,28.999999999999996,93,75,56.99999999999999,34,93,75,56.99999999999999,undefined
https://www.medstarhealth.org/infection-control-policy,31,90,75,64,32,90,75,64,undefined
https://www.medstarhealth.org/office-policies,32,91,75,64,32,91,75,64,undefined
https://www.medstarhealth.org/medstar-partners,28.000000000000004,94,75,64,30,94,75,64,undefined
https://www.medstarhealth.org/notice-of-nondiscrimination,31,93,75,64,30,93,75,64,undefined
https://www.medstarhealth.org/online-privacy-policy,30,92,75,50,30,92,75,50,undefined
https://www.medstarhealth.org/patient-privacy-policy,27,93,75,56.99999999999999,30,93,75,56.99999999999999,undefined
https://www.medstarhealth.org/patient-rights-and-responsibilities,43,92,75,64,31,92,75,64,undefined
https://www.medstarhealth.org/price-transparency-disclosures,32,87,75,64,34,87,75,64,undefined
https://www.medstarhealth.org/quality-and-patient-safety,20,87,67,56.99999999999999,20,87,67,56.99999999999999,undefined
https://www.medstarhealth.org/quality-and-patient-safety/social-media-sites-and-disclaimers,31,92,67,56.99999999999999,32,92,67,56.99999999999999,undefined
https://www.medstarhealth.org/good-faith-estimate,43,92,75,64,32,92,75,64,undefined
https://www.medstarhealth.org/services/service-alphabetic-page?eyebrow=All,28.999999999999996,92,75,50,28.000000000000004,92,75,50,undefined
https://www.medstarhealth.org/services/urology,25,89,57.99999999999999,50,26,89,57.99999999999999,50,undefined
